IMO,LENGTH,WIDTH,Gross WT.,Net WT.,BUILT YEAR
9805465,365,51,152068.0,63263.0,2018.0
9805477,365,51,152180.0,63263.0,2018.0
9806043,364,51,145647.0,83275.0,2018.0
9806055,364,51,145647.0,83275.0,2019.0
9806079,364,51,146694.0,85850.0,2019.0
9806081,364,51,146694.0,85850.0,2019.0
9808481,123,24,7542.0,2262.0,2016.0
9822736,172,28,19035.0,8165.0,2019.0
9860908,332,48,115761.0,63724.0,2020.0
9860910,332,48,115761.0,63724.0,2020.0
9860922,332,48,115761.0,63724.0,2020.0
